,Portfolio_3.Date,Portfolio_3.CSCO,Portfolio_3.EBAY,Portfolio_3.ÖRCL
1,6/1/2017,-0.729470924,1.807577312,10.46486252
2,7/1/2017,0.479235797,2.319593489,-0.418838184
3,8/1/2017,3.373392358,1.119510216,1.181361998
4,9/1/2017,4.408574011,6.448928689,-3.934051327
5,10/1/2017,1.546231702,-2.132085339,5.274058349
6,11/1/2017,10.16783981,-7.890544843,-3.234753643
7,12/1/2017,2.680963688,8.854929845,-3.628219993
8,1/1/2018,8.459540919,7.525171832,9.115910719
9,2/1/2018,8.603766321,5.618528555,-1.400819204
10,3/1/2018,-4.220635282,-6.112923329,-9.709885072
11,4/1/2018,1.981820138,3.379711562,0.10928998
