,Portfolio_6.Date,Portfolio_6.CSCO,Portfolio_6.MSFT,Portfolio_6.ÖRCL
1,6/1/2017,-0.729470924,-0.737248755,10.46486252
2,7/1/2017,0.479235797,5.469316743,-0.418838184
3,8/1/2017,3.373392358,2.847306677,1.181361998
4,9/1/2017,4.408574011,0.156304779,-3.934051327
5,10/1/2017,1.546231702,11.66600528,5.274058349
6,11/1/2017,10.16783981,1.190188375,-3.234753643
7,12/1/2017,2.680963688,2.138052401,-3.628219993
8,1/1/2018,8.459540919,11.07084139,9.115910719
9,2/1/2018,8.603766321,-1.305131716,-1.400819204
10,3/1/2018,-4.220635282,-2.208873089,-9.709885072
11,4/1/2018,1.981820138,4.470254338,0.10928998
