,Portfolio_7.Date,Portfolio_7.EBAY,Portfolio_7.GOOG,Portfolio_7.MSFT
1,6/1/2017,1.807577312,-5.817424898,-0.737248755
2,7/1/2017,2.319593489,2.395653327,5.469316743
3,8/1/2017,1.119510216,0.948954003,2.847306677
4,9/1/2017,6.448928689,2.105752786,0.156304779
5,10/1/2017,-2.132085339,5.99827245,11.66600528
6,11/1/2017,-7.890544843,0.469188496,1.190188375
7,12/1/2017,8.854929845,2.446622968,2.138052401
8,1/1/2018,7.525171832,11.80618446,11.07084139
9,2/1/2018,5.618528555,-5.573787056,-1.305131716
10,3/1/2018,-6.112923329,-6.602513041,-2.208873089
11,4/1/2018,3.379711562,3.456120979,4.470254338
