,Portfolio_8.Date,Portfolio_8.EBAY,Portfolio_8.GOOG,Portfolio_8.ÖRCL
1,6/1/2017,1.807577312,-5.817424898,10.46486252
2,7/1/2017,2.319593489,2.395653327,-0.418838184
3,8/1/2017,1.119510216,0.948954003,1.181361998
4,9/1/2017,6.448928689,2.105752786,-3.934051327
5,10/1/2017,-2.132085339,5.99827245,5.274058349
6,11/1/2017,-7.890544843,0.469188496,-3.234753643
7,12/1/2017,8.854929845,2.446622968,-3.628219993
8,1/1/2018,7.525171832,11.80618446,9.115910719
9,2/1/2018,5.618528555,-5.573787056,-1.400819204
10,3/1/2018,-6.112923329,-6.602513041,-9.709885072
11,4/1/2018,3.379711562,3.456120979,0.10928998
