,Portfolio_9.Date,Portfolio_9.EBAY,Portfolio_9.MSFT,Portfolio_9.ÖRCL
1,6/1/2017,1.807577312,-0.737248755,10.46486252
2,7/1/2017,2.319593489,5.469316743,-0.418838184
3,8/1/2017,1.119510216,2.847306677,1.181361998
4,9/1/2017,6.448928689,0.156304779,-3.934051327
5,10/1/2017,-2.132085339,11.66600528,5.274058349
6,11/1/2017,-7.890544843,1.190188375,-3.234753643
7,12/1/2017,8.854929845,2.138052401,-3.628219993
8,1/1/2018,7.525171832,11.07084139,9.115910719
9,2/1/2018,5.618528555,-1.305131716,-1.400819204
10,3/1/2018,-6.112923329,-2.208873089,-9.709885072
11,4/1/2018,3.379711562,4.470254338,0.10928998
